\c:1544920620*52\$GPGLL,3247.2160,N,07954.5639,W,163803.000,A,D*40	\c:1544920927*5A\$IIVWT,117,R,11.85,N,06.10,M,,*39
\c:1544920621*53\$GPGLL,3247.2160,N,07954.5639,W,163804.000,A,D*47	\c:1544920929*54\$IIVWT,114,R,11.11,N,05.72,M,,*30
\c:1544920622*50\$GPGLL,3247.2160,N,07954.5639,W,163805.000,A,D*46	\c:1544920931*5D\$IIVWT,123,R,11.33,N,05.83,M,,*3A
\c:1544920623*51\$GPGLL,3247.2160,N,07954.5639,W,163806.000,A,D*45	\c:1544920933*5F\$IIVWT,126,R,10.78,N,05.55,M,,*3A
\c:1544920624*56\$GPGLL,3247.2160,N,07954.5639,W,163807.000,A,D*44	\c:1544920935*59\$IIVWT,123,R,09.79,N,05.04,M,,*32
\c:1544920625*57\$GPGLL,3247.2160,N,07954.5639,W,163808.000,A,D*4B	\c:1544920937*5B\$IIVWT,113,R,09.17,N,04.72,M,,*39
\c:1544920657*52\$GPGLL,3247.2160,N,07954.5639,W,163840.000,A,D*47	\c:1544920939*55\$IIVWT,109,R,08.98,N,04.62,M,,*35
\c:1544920658*5D\$GPGLL,3247.2160,N,07954.5639,W,163841.000,A,D*46	\c:1544920941*5A\$IIVWT,117,R,10.20,N,05.25,M,,*32
\c:1544920659*5C\$GPGLL,3247.2160,N,07954.5638,W,163842.000,A,D*44	\c:1544920944*5F\$IIVWT,108,R,10.18,N,05.24,M,,*36
\c:1544920660*56\$GPGLL,3247.2160,N,07954.5638,W,163843.000,A,D*45	\c:1544920946*5D\$IIVWT,111,R,10.84,N,05.58,M,,*30
\c:1544920661*57\$GPGLL,3247.2160,N,07954.5638,W,163844.000,A,D*42	\c:1544920948*53\$IIVWT,110,R,09.87,N,05.08,M,,*3F
\c:1544920662*54\$GPGLL,3247.2160,N,07954.5638,W,163845.000,A,D*43	\c:1544920950*5A\$IIVWT,114,R,10.20,N,05.25,M,,*31
