\c:1552136678*57\$GPGLL,3247.2155,N,07954.5642,W,130507.000,A,A*40	\c:1552136790*50\$IIVWT,018,L,02.62,N,01.35,M,,*22
\c:1552136678*57\$GPGLL,3247.222,N,07954.564,W,130507,A,A*5D	\c:1552136792*52\$IIVWT,038,L,02.68,N,01.38,M,,*27
\c:1552136679*56\$GPGLL,3247.2155,N,07954.5642,W,130508.000,A,A*4F	\c:1552136794*54\$IIVWT,036,L,02.58,N,01.33,M,,*21
\c:1552136680*50\$GPGLL,3247.2155,N,07954.5642,W,130509.000,A,A*4E	\c:1552136796*56\$IIVWT,043,L,02.39,N,01.23,M,,*25
\c:1552136680*50\$GPGLL,3247.222,N,07954.564,W,130509,A,A*53	\c:1552136798*58\$IIVWT,025,L,02.39,N,01.23,M,,*25
\c:1552136681*51\$GPGLL,3247.2155,N,07954.5642,W,130510.000,A,A*46	\c:1552136800*56\$IIVWT,021,L,02.62,N,01.35,M,,*28
\c:1552136682*52\$GPGLL,3247.2155,N,07954.5642,W,130511.000,A,A*47	\c:1552136802*54\$IIVWT,030,L,02.68,N,01.38,M,,*2F
\c:1552136682*52\$GPGLL,3247.222,N,07954.564,W,130511,A,A*5A	\c:1552136805*53\$IIVWT,025,L,02.76,N,01.42,M,,*29
\c:1552136684*54\$GPGLL,3247.2155,N,07954.5642,W,130512.000,A,A*44	\c:1552136807*51\$IIVWT,023,L,02.72,N,01.40,M,,*29
\c:1552136684*54\$GPGLL,3247.2155,N,07954.5642,W,130513.000,A,A*45	\c:1552136809*5F\$IIVWT,014,L,02.68,N,01.38,M,,*29
\c:1552136685*55\$GPGLL,3247.222,N,07954.564,W,130513,A,A*58	\c:1552136811*56\$IIVWT,014,L,02.72,N,01.40,M,,*2D
\c:1552136685*55\$GPGLL,3247.2155,N,07954.5642,W,130514.000,A,A*42	\c:1552136813*54\$IIVWT,013,L,02.64,N,01.36,M,,*2C
\c:1552136686*56\$GPGLL,3247.2155,N,07954.5642,W,130515.000,A,A*43	\c:1552136815*52\$IIVWT,038,L,02.64,N,01.36,M,,*25
\c:1552136687*57\$GPGLL,3247.222,N,07954.564,W,130515,A,A*5E	\c:1552136817*50\$IIVWT,020,L,02.62,N,01.35,M,,*29
\c:1552136687*57\$GPGLL,3247.2155,N,07954.5642,W,130516.000,A,A*40	\c:1552136819*5E\$IIVWT,036,L,02.72,N,01.40,M,,*2D
\c:1552136688*58\$GPGLL,3247.2155,N,07954.5642,W,130517.000,A,A*41	\c:1552136821*55\$IIVWT,036,L,02.52,N,01.30,M,,*28
\c:1552136689*59\$GPGLL,3247.222,N,07954.564,W,130517,A,A*5C	\c:1552136823*57\$IIVWT,040,L,02.50,N,01.29,M,,*23
\c:1552136690*51\$GPGLL,3247.2155,N,07954.5642,W,130518.000,A,A*4E	\c:1552136825*51\$IIVWT,063,L,02.19,N,01.13,M,,*26
\c:1552136690*51\$GPGLL,3247.2155,N,07954.5642,W,130519.000,A,A*4F	\c:1552136827*53\$IIVWT,056,L,02.07,N,01.07,M,,*2A
\c:1552136691*50\$GPGLL,3247.222,N,07954.564,W,130519,A,A*52	\c:1552136829*5D\$IIVWT,050,L,02.17,N,01.12,M,,*29
\c:1552136691*50\$GPGLL,3247.2155,N,07954.5642,W,130520.000,A,A*45	\c:1552136831*54\$IIVWT,047,L,02.21,N,01.14,M,,*2C
\c:1552136692*53\$GPGLL,3247.2155,N,07954.5642,W,130521.000,A,A*44	\c:1552136833*56\$IIVWT,039,L,02.35,N,01.21,M,,*26
\c:1552136695*54\$GPGLL,3247.222,N,07954.564,W,130521,A,A*59	\c:1552136835*50\$IIVWT,053,L,02.42,N,01.25,M,,*2E
\c:1552136695*54\$GPGLL,3247.2155,N,07954.5642,W,130522.000,A,A*47	\c:1552136837*52\$IIVWT,050,L,02.56,N,01.32,M,,*2E
\c:1552136695*54\$GPGLL,3247.2155,N,07954.5642,W,130523.000,A,A*46	\c:1552136839*5C\$IIVWT,047,L,02.39,N,01.23,M,,*21
\c:1552136695*54\$GPGLL,3247.222,N,07954.564,W,130523,A,A*5B	\c:1552136841*53\$IIVWT,046,L,02.42,N,01.25,M,,*2A
\c:1552136695*54\$GPGLL,3247.2155,N,07954.5642,W,130524.000,A,A*41	\c:1552136843*51\$IIVWT,044,L,02.29,N,01.18,M,,*2B
\c:1552136696*57\$GPGLL,3247.2155,N,07954.5642,W,130525.000,A,A*40	\c:1552136845*57\$IIVWT,044,L,02.42,N,01.25,M,,*28
\c:1552136697*56\$GPGLL,3247.221,N,07954.564,W,130525,A,A*5E	\c:1552136848*5A\$IIVWT,038,L,02.64,N,01.36,M,,*25
\c:1552136697*56\$GPGLL,3247.2155,N,07954.5642,W,130526.000,A,A*43	\c:1552136850*53\$IIVWT,056,L,02.44,N,01.26,M,,*2E
\c:1552136698*59\$GPGLL,3247.2155,N,07954.5642,W,130527.000,A,A*42	\c:1552136852*51\$IIVWT,046,L,02.31,N,01.19,M,,*21
\c:1552136699*58\$GPGLL,3247.221,N,07954.564,W,130527,A,A*5C	\c:1552136854*57\$IIVWT,029,L,02.23,N,01.15,M,,*27
\c:1552136699*58\$GPGLL,3247.2155,N,07954.5642,W,130528.000,A,A*4D	\c:1552136856*55\$IIVWT,038,L,02.33,N,01.20,M,,*20
\c:1552136700*59\$GPGLL,3247.2155,N,07954.5642,W,130529.000,A,A*4C	\c:1552136858*5B\$IIVWT,045,L,01.92,N,00.99,M,,*21
\c:1552136701*58\$GPGLL,3247.221,N,07954.564,W,130529,A,A*52	\c:1552136860*50\$IIVWT,048,L,02.13,N,01.10,M,,*26
\c:1552136701*58\$GPGLL,3247.2155,N,07954.5642,W,130530.000,A,A*44	\c:1552136862*52\$IIVWT,038,L,01.92,N,00.99,M,,*2B
\c:1552136702*5B\$GPGLL,3247.2155,N,07954.5642,W,130531.000,A,A*45	\c:1552136864*54\$IIVWT,044,L,02.02,N,01.04,M,,*2F
\c:1552136703*5A\$GPGLL,3247.221,N,07954.564,W,130531,A,A*5B	\c:1552136866*56\$IIVWT,034,L,02.00,N,01.03,M,,*2D
\c:1552136703*5A\$GPGLL,3247.2155,N,07954.5642,W,130532.000,A,A*46	\c:1552136868*58\$IIVWT,059,L,02.04,N,01.05,M,,*24
\c:1552136704*5D\$GPGLL,3247.2155,N,07954.5642,W,130533.000,A,A*47	\c:1552136870*51\$IIVWT,048,L,01.96,N,01.01,M,,*28
\c:1552136705*5C\$GPGLL,3247.222,N,07954.564,W,130533,A,A*5A	\c:1552136872*53\$IIVWT,043,L,02.06,N,01.06,M,,*2E
\c:1552136705*5C\$GPGLL,3247.2155,N,07954.5644,W,130534.000,A,A*46	\c:1552136874*55\$IIVWT,048,L,02.29,N,01.18,M,,*27
\c:1552136706*5F\$GPGLL,3247.2156,N,07954.5644,W,130535.000,A,A*44	\c:1552136876*57\$IIVWT,052,L,01.94,N,01.00,M,,*20
\c:1552136707*5E\$GPGLL,3247.222,N,07954.564,W,130535,A,A*5C	\c:1552136878*59\$IIVWT,052,L,02.21,N,01.14,M,,*28
\c:1552136707*5E\$GPGLL,3247.2156,N,07954.5644,W,130536.000,A,A*47	\c:1552136880*5E\$IIVWT,063,L,01.94,N,01.00,M,,*22
\c:1552136708*51\$GPGLL,3247.2156,N,07954.5643,W,130537.000,A,A*41	\c:1552136882*5C\$IIVWT,051,L,02.13,N,01.10,M,,*2E
\c:1552136709*50\$GPGLL,3247.2157,N,07954.5643,W,130538.000,A,A*4F	\c:1552136884*5A\$IIVWT,032,L,02.09,N,01.08,M,,*29
\c:1552136709*50\$GPGLL,3247.222,N,07954.564,W,130537,A,A*5E	\c:1552136886*58\$IIVWT,028,L,02.31,N,01.19,M,,*29
\c:1552136710*58\$GPGLL,3247.2157,N,07954.5643,W,130539.000,A,A*4E	\c:1552136889*57\$IIVWT,017,L,02.31,N,01.19,M,,*25
\c:1552136711*59\$GPGLL,3247.2156,N,07954.5643,W,130540.000,A,A*41	\c:1552136891*5E\$IIVWT,046,L,02.21,N,01.14,M,,*2D
\c:1552136711*59\$GPGLL,3247.222,N,07954.564,W,130539,A,A*50	\c:1552136893*5C\$IIVWT,045,L,02.23,N,01.15,M,,*2D
\c:1552136712*5A\$GPGLL,3247.2156,N,07954.5644,W,130541.000,A,A*47	\c:1552136895*5A\$IIVWT,052,L,01.86,N,00.96,M,,*2D
\c:1552136713*5B\$GPGLL,3247.2156,N,07954.5643,W,130542.000,A,A*43	\c:1552136897*58\$IIVWT,046,L,02.02,N,01.04,M,,*2D
\c:1552136713*5B\$GPGLL,3247.222,N,07954.564,W,130541,A,A*5F	\c:1552136899*56\$IIVWT,056,L,01.88,N,00.97,M,,*26
\c:1552136714*5C\$GPGLL,3247.2156,N,07954.5643,W,130543.000,A,A*42	\c:1552136901*56\$IIVWT,054,L,02.13,N,01.10,M,,*2B
\c:1552136715*5D\$GPGLL,3247.2156,N,07954.5643,W,130544.000,A,A*45	\c:1552136903*54\$IIVWT,011,L,02.13,N,01.10,M,,*2A
\c:1552136715*5D\$GPGLL,3247.222,N,07954.564,W,130543,A,A*5D	\c:1552136905*52\$IIVWT,059,L,01.98,N,01.02,M,,*25
\c:1552136716*5E\$GPGLL,3247.2156,N,07954.5643,W,130545.000,A,A*44	\c:1552136907*50\$IIVWT,042,L,01.73,N,00.89,M,,*28
\c:1552136717*5F\$GPGLL,3247.2156,N,07954.5643,W,130546.000,A,A*47	\c:1552136909*5E\$IIVWT,032,L,01.74,N,00.90,M,,*20
\c:1552136717*5F\$GPGLL,3247.222,N,07954.564,W,130545,A,A*5B	\c:1552136911*57\$IIVWT,022,L,01.88,N,00.97,M,,*25
\c:1552136718*50\$GPGLL,3247.2156,N,07954.5643,W,130547.000,A,A*46	\c:1552136913*55\$IIVWT,014,L,02.25,N,01.16,M,,*2C
\c:1552136719*51\$GPGLL,3247.2156,N,07954.5643,W,130548.000,A,A*49	\c:1552136915*53\$IIVWT,033,L,02.39,N,01.23,M,,*22
\c:1552136719*51\$GPGLL,3247.222,N,07954.564,W,130547,A,A*59	\c:1552136917*51\$IIVWT,011,L,02.35,N,01.21,M,,*2C
\c:1552136720*5B\$GPGLL,3247.2156,N,07954.5643,W,130549.000,A,A*48	\c:1552136919*5F\$IIVWT,031,L,02.29,N,01.18,M,,*29
\c:1552136721*5A\$GPGLL,3247.2156,N,07954.5643,W,130550.000,A,A*40	\c:1552136921*54\$IIVWT,008,L,02.25,N,01.16,M,,*21
